Case Number,City,Zip,Date Filed,Date Closed,Case Type,Type of Complaint,Case Disposition,Location
48050,SILVER SPRING,20902,04/05/2023,07/15/2023,OLTA-TMF,Noise,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
48113,GERMANTOWN,20876,05/11/2023,07/12/2023,OLTA-TMF,Noise,Other referral (private attorney/legal aid/etc.),"GERMANTOWN 20876
(39.1877503, -77.2365474)"
48198,SILVER SPRING,20902,06/29/2023,07/26/2023,OLTA-TMF,Fee,Service performed or corrected,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
47977,ROCKVILLE,20852,03/09/2023,07/06/2023,OLTA-ADMIN,Fee,Refund/Rent Credit,"ROCKVILLE 20852
(39.056520000000035, -77.11419499999994)"
48168,GERMANTOWN,20874,06/13/2023,07/31/2023,OLTA-TSF,Security Deposit,Refund (payments/deposits),"GERMANTOWN 20874
(39.19241, -77.274965)"
48145,GERMANTOWN,20874,06/01/2023,07/20/2023,OLTA-TMF,Rent Payment History,Other- no communication from tenant,"GERMANTOWN 20874
(39.19241, -77.274965)"
42824,SILVER SPRING,20901,12/17/2021,07/25/2023,OLTA-TSF,Maintenance - Infestation,Complaint withdrawn,"SILVER SPRING 20901
(39.02585, -77.01502)"
47980,SILVER SPRING,20902,03/10/2023,05/15/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other referral (private attorney/legal aid/etc.),"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
48102,MONTGOMERY VILLAGE,20886,05/04/2023,06/30/2023,OLTA-TSF,Lease Agreement,Complaint withdrawn,"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
48004,SILVER SPRING,20902,03/21/2023,06/03/2023,OLTA-TSF,Harassment,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
48192,TAKOMA PARK,20912,06/28/2023,07/27/2023,OLTA-TMF,Eviction,Settlement Agreement,"TAKOMA PARK 20912
(38.9819399, -76.9936617)"
48181,MONTGOMERY VILLAGE,20886,06/21/2023,07/20/2023,OLTA-LSF,Quit and Vacate,Service performed or corrected,"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
48202,ROCKVILLE,20853,07/03/2023,07/07/2023,OLTA-TMF,Rent Increase,No jurisdiction,"ROCKVILLE 20853
(39.0704791, -77.0932412)"
44091,GERMANTOWN,20874,04/22/2022,07/28/2022,OLTA-LSF,Failure to Pay Rent,Settlement Agreement,"GERMANTOWN 20874
(39.19241, -77.274965)"
47984,ROCKVILLE,20852,03/13/2023,05/15/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"ROCKVILLE 20852
(39.056520000000035, -77.11419499999994)"
48193,SILVER SPRING,20910,06/28/2023,07/19/2023,OLTA-TMF,Rent Increase,Service performed or corrected,"SILVER SPRING 20910
(38.99308, -77.02379)"
48196,ROCKVILLE,20852,06/29/2023,07/18/2023,OLTA-TMF,Failure to Pay Rent,Legal Action Filed,"ROCKVILLE 20852
(39.056520000000035, -77.11419499999994)"
48123,GERMANTOWN,20876,05/19/2023,07/10/2023,OLTA-TSF,Failure to Pay Rent,Other- no communication from tenant,"GERMANTOWN 20876
(39.1877503, -77.2365474)"
45392,SILVER SPRING,20902,09/08/2022,03/02/2023,OLTA-TMF,Fee,Acceptable explanation,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
48156,BETHESDA,20814,06/08/2023,07/13/2023,OLTA-TMF,Rent Increase,Goods delivered or replaced,"BETHESDA 20814
(38.98706, -77.0987)"
48016,BETHESDA,20814,03/29/2023,07/27/2023,OLTA-TMF,Quit and Vacate,Refund/Rent Credit,"BETHESDA 20814
(38.98706, -77.0987)"
45208,SILVER SPRING,20904,06/15/2022,07/26/2022,OLTA-TSF,Quit and Vacate,Acceptable explanation,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
42944,SILVER SPRING,20902,02/15/2022,07/28/2023,OLTA-TMF,Lease Agreement-Early Termination,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
48124,GERMANTOWN,20876,05/19/2023,07/28/2023,OLTA-TMF,Lease Agreement,Acceptable explanation,"GERMANTOWN 20876
(39.1877503, -77.2365474)"
48001,SILVER SPRING,20904,03/20/2023,05/06/2023,OLTA-TMF,Rent Increase,Service performed or corrected,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
47701,CHEVY CHASE,20815,01/13/2023,07/05/2023,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"CHEVY CHASE 20815
(38.983575, -77.07715)"
47810,SILVER SPRING,20902,02/24/2023,05/02/2023,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
45390,SILVER SPRING,20910,09/07/2022,07/25/2023,OLTA-TMF,Lease Agreement Tenant Rights,Acceptable explanation,"SILVER SPRING 20910
(38.99308, -77.02379)"
46526,SILVER SPRING,20902,10/25/2022,07/10/2023,OLTA-TSF,Security Deposit,Complaint withdrawn,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
48203,ROCKVILLE,20855,07/03/2023,07/07/2023,OLTA-TSF,Other-Miscellaneous,Referred to a MD State Government agency,"ROCKVILLE 20855
(39.11437858, -77.164198557)"
48162,BETHESDA,20852,06/13/2023,07/10/2023,OLTA-TMF,Rent Increase,Settlement Agreement,"BETHESDA 20852
(39.056621866, -77.146459926)"
48078,GERMANTOWN,20876,04/21/2023,06/12/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"GERMANTOWN 20876
(39.1877503, -77.2365474)"
48092,ROCKVILLE,20850,04/27/2023,07/18/2023,OLTA-ADMIN,Fee,Service performed or corrected,"ROCKVILLE 20850
(39.08509, -77.150695)"
48110,SILVER SPRING,20910,05/08/2023,07/19/2023,OLTA-TMF,Security Deposit,Acceptable explanation,"SILVER SPRING 20910
(38.99308, -77.02379)"
48135,ROCKVILLE,20852,05/25/2023,07/29/2023,OLTA-TSF,Lease Agreement Tenant Rights,Settlement Agreement,"ROCKVILLE 20852
(39.056520000000035, -77.11419499999994)"
46574,GAITHERSBURG,20878,11/10/2022,11/10/2022,OLTA-TMF,Rent Payment History,Non-jurisdiction-Geographic Location,"GAITHERSBURG 20878
(39.12004, -77.23908)"
48069,SILVER SPRING,20902,04/18/2023,07/13/2023,OLTA-ADMIN,Rent Increase,Service performed or corrected,"SILVER SPRING 20902
(39.04516000000007, -77.05323529999998)"
47966,ROCKVILLE,20852,03/08/2023,07/11/2023,OLTA-TMF,Lease Agreement Tenant Rights,Referred to a Montgomery County Agency,"ROCKVILLE 20852
(39.056520000000035, -77.11419499999994)"
48096,ROCKVILLE,20855,04/28/2023,07/13/2023,OLTA-TMF,Lease Agreement,Referred to a MD State Government agency,"ROCKVILLE 20855
(39.11437858, -77.164198557)"
47710,SILVER SPRING,20910,01/18/2023,06/30/2023,OLTA-TMF,Rent Increase,Refund/Rent Credit,"SILVER SPRING 20910
(38.99308, -77.02379)"
41696,MONTGOMERY VILLAGE,20886,10/25/2021,09/22/2022,OLTA-TMF,Security Deposit,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
40183,BETHESDA,20814,08/12/2019,12/27/2021,OLTA-TMF,Security Deposit,Other- no communication from tenant,"BETHESDA 20814
(38.98706, -77.0987)"
41730,ROCKVILLE,20852,11/04/2021,08/29/2023,OLTA-TMF,Maintenance - Plumbing,Service performed or corrected,"ROCKVILLE 20852
(39.05652, -77.114195)"
40068,GERMANTOWN,20874,06/25/2019,11/22/2021,OLTA-TMF,Security Deposit,Other- no communication from tenant,"GERMANTOWN 20874
(39.19241, -77.274965)"
48299,ROCKVILLE,20852,08/15/2023,08/24/2023,OLTA-TSF,Security Deposit,Referred to a MD State Government agency,"ROCKVILLE 20852
(39.05652, -77.114195)"
42831,SILVER SPRING,20902,12/20/2021,03/23/2022,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20902
(39.04516, -77.0532353)"
40451,MONTGOMERY VILLAGE,20886,12/06/2019,12/27/2021,OLTA-TSF,Security Deposit,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
48208,SILVER SPRING,20904,07/05/2023,08/04/2023,OLTA-TMF,Lease Agreement Tenant Rights,Settlement Agreement,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48339,BETHESDA,20814,08/30/2023,08/31/2023,OLTA-TMF,Rent Increase,Complaint withdrawn,"BETHESDA 20814
(38.98706, -77.0987)"
41669,BURTONSVILLE,20866,10/14/2021,08/29/2023,OLTA-TMF,Harassment,Service performed or corrected,"BURTONSVILLE 20866
(39.0991056, -76.9300924)"
48258,SILVER SPRING,20904,08/04/2023,08/08/2023,OLTA-TMF,Rent Payment History,Complaint withdrawn,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
40393,SILVER SPRING,20906,11/05/2019,12/27/2021,OLTA-TMF,Rent Payment History,Other- no communication from tenant,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
40846,SILVER SPRING,20906,07/24/2020,07/31/2023,OLTA-TMF,Security Deposit,Other- no communication from tenant,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48083,SILVER SPRING,20901,04/24/2023,08/04/2023,OLTA-TMF,Retaliatory Eviction,Service performed or corrected,"SILVER SPRING 20901
(39.02585, -77.01502)"
41687,ROCKVILLE,20850,10/22/2021,08/29/2023,OLTA-TMF,Security Deposit,Other- no communication from tenant,"ROCKVILLE 20850
(39.08509, -77.150695)"
48214,SILVER SPRING,20904,07/11/2023,08/22/2023,OLTA-TSF,Failure to Pay Rent,Complaint noted for the record,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
41575,SILVER SPRING,20901,09/09/2021,08/31/2023,OLTA-TMF,Lease Agreement,Acceptable explanation,"SILVER SPRING 20901
(39.02585, -77.01502)"
41560,GERMANTOWN,20874,09/03/2021,08/28/2023,OLTA-TMF,Lease Agreement,Service performed or corrected,"GERMANTOWN 20874
(39.19241, -77.274965)"
48293,SILVER SPRING,20904,08/14/2023,08/21/2023,OLTA-TMF,Lease Agreement Tenant Rights,Refer to Code Enforcement,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48071,SILVER SPRING,20904,04/19/2023,08/29/2023,OLTA-TMF,Maintenance - Infestation,Acceptable explanation,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48013,SILVER SPRING,20901,03/22/2023,07/25/2023,OLTA-TMF,Fee,Acceptable explanation,"SILVER SPRING 20901
(39.02585, -77.01502)"
48227,BETHESDA,20814,07/27/2023,08/09/2023,OLTA-TMF,Lease Agreement Tenant Rights,Complaint withdrawn,"BETHESDA 20814
(38.98706, -77.0987)"
48225,SILVER SPRING,20906,07/27/2023,08/22/2023,OLTA-TMF,Rent Increase,Service performed or corrected,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48321,ROCKVILLE,20850,08/23/2023,08/23/2023,OLTA-TMF,No Jurisdiction-Geographical,No jurisdiction,"ROCKVILLE 20850
(39.08509, -77.150695)"
41305,MONTGOMERY VILLAGE,20886,04/09/2021,09/22/2022,OLTA-TMF,Fee,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
44047,SILVER SPRING,20910,03/24/2022,08/22/2023,OLTA-TMF,Security Deposit,Other- no communication from tenant,"SILVER SPRING 20910
(38.99308, -77.02379)"
48206,ROCKVILLE,20852,07/05/2023,08/08/2023,OLTA-TMF,Quit and Vacate,Acceptable explanation,"ROCKVILLE 20852
(39.05652, -77.114195)"
41623,SILVER SPRING,20904,09/27/2021,08/28/2023,OLTA-TMF,Fee,Other- no communication from tenant,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48180,BETHESDA,20816,06/20/2023,08/31/2023,OLTA-TMF,Noise,Acceptable explanation,"BETHESDA 20816
(38.9568741, -77.102528)"
48216,SILVER SPRING,20904,07/19/2023,08/29/2023,OLTA-TMF,Lease Agreement,Referred to a MD State Government agency,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48165,SILVER SPRING,20910,06/13/2023,08/22/2023,OLTA-TMF,Quit and Vacate,Acceptable explanation,"SILVER SPRING 20910
(38.99308, -77.02379)"
48157,CHEVY CHASE,20815,06/08/2023,08/09/2023,OLTA-TMF,Security Deposit,Settlement Agreement,"CHEVY CHASE 20815
(38.983575, -77.07715)"
48286,SILVER SPRING,20910,08/11/2023,08/31/2023,OLTA-TMF,Other-Miscellaneous,No jurisdiction,"SILVER SPRING 20910
(38.99308, -77.02379)"
48305,BETHESDA,20817,08/17/2023,08/25/2023,OLTA-TMF,Rent Payment History,Final walk through,"BETHESDA 20817
(39.0064501, -77.1234374)"
48167,SILVER SPRING,20902,06/13/2023,08/31/2023,OLTA-TSF,Lease Agreement,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48116,SILVER SPRING,20904,05/12/2023,08/29/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48279,GERMANTOWN,20874,08/10/2023,08/10/2023,OLTA-TMF,Maintenance - Mold/Mildew,Refer to Code Enforcement,"GERMANTOWN 20874
(39.19241, -77.274965)"
41713,CHEVY CHASE,20815,10/27/2021,08/31/2023,OLTA-TMF,Lease Agreement-Early Termination,Other- no communication from tenant,"CHEVY CHASE 20815
(38.983575, -77.07715)"
41639,BETHESDA,20817,10/04/2021,08/29/2023,OLTA-TSF,Fee,Other- no communication from tenant,"BETHESDA 20817
(39.0064501, -77.1234374)"
41712,GERMANTOWN,20874,10/27/2021,08/29/2023,OLTA-TSF,Lease Agreement-Early Termination,Referred to a MD State Government agency,"GERMANTOWN 20874
(39.19241, -77.274965)"
48291,SILVER SPRING,20904,08/14/2023,08/14/2023,OLTA-TMF,Fee,Complaint withdrawn,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48318,ROCKVILLE,20852,08/21/2023,08/30/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"ROCKVILLE 20852
(39.05652, -77.114195)"
48282,GAITHERSBURG,20877,08/11/2023,08/11/2023,OLTA-TMF,Lease Agreement Tenant Rights,No jurisdiction,"GAITHERSBURG 20877
(39.14186, -77.19651)"
41598,SILVER SPRING,20906,09/16/2021,07/31/2023,OLTA-TMF,Lease Agreement-Early Termination,Other- no communication from tenant,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
41807,SILVER SPRING,20902,12/08/2021,07/31/2023,OLTA-TMF,Maintenance - Infestation,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48106,SILVER SPRING,20904,05/04/2023,08/14/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
46610,SILVER SPRING,20902,11/25/2022,08/11/2023,OLTA-TMF,Maintenance - Infestation,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48319,BETHESDA,20814,08/21/2023,08/21/2023,OLTA-TMF,Other-Miscellaneous,Referred to a Montgomery County Agency,"BETHESDA 20814
(38.98706, -77.0987)"
48044,ROCKVILLE,20851,04/04/2023,08/08/2023,OLTA-TMF,Lease Agreement Tenant Rights,Service performed or corrected,"ROCKVILLE 20851
(39.07681, -77.118155)"
48226,BURTONSVILLE,20866,07/27/2023,08/30/2023,OLTA-TSF,Quit and Vacate,Service performed or corrected,"BURTONSVILLE 20866
(39.0991056, -76.9300924)"
48150,ROCKVILLE,20852,06/06/2023,08/01/2023,OLTA-TSF,Quit and Vacate,Dismissed by Landlord-Tenant Commission,"ROCKVILLE 20852
(39.05652, -77.114195)"
48136,ROCKVILLE,20852,05/25/2023,08/30/2023,OLTA-TMF,Failure to Pay Rent,Refund (payments/deposits),"ROCKVILLE 20852
(39.05652, -77.114195)"
41684,MONTGOMERY VILLAGE,20886,10/21/2021,07/31/2023,OLTA-TSF,Lease Agreement-Early Termination,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
48285,SILVER SPRING,20901,08/11/2023,08/11/2023,OLTA-TMF,Maintenance - Mold/Mildew,Complaint withdrawn,"SILVER SPRING 20901
(39.02585, -77.01502)"
48248,SILVER SPRING,20910,08/03/2023,08/15/2023,OLTA-TMF,Lease Agreement Tenant Rights,Service performed or corrected,"SILVER SPRING 20910
(38.99308, -77.02379)"
48219,POTOMAC,20854,07/19/2023,08/15/2023,OLTA-TSF,Rent Increase,Complaint withdrawn,"POTOMAC 20854
(39.0630443, -77.1819961)"
48201,MONTGOMERY VILLAGE,20886,07/03/2023,07/25/2023,OLTA-TSF,Quit and Vacate,Referred to a MD State Government agency,"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
48302,BETHESDA,20814,08/15/2023,08/29/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"BETHESDA 20814
(38.98706, -77.0987)"
41604,ROCKVILLE,20852,09/21/2021,07/31/2023,OLTA-TMF,Lease Agreement-Early Termination,Other- no communication from tenant,"ROCKVILLE 20852
(39.05652, -77.114195)"
47990,SILVER SPRING,20902,03/14/2023,08/15/2023,OLTA-TMF,Security Deposit,Refund/Rent Credit,"SILVER SPRING 20902
(39.04516, -77.0532353)"
42835,SILVER SPRING,20910,12/21/2021,08/28/2023,OLTA-TMF,Quit and Vacate,Acceptable explanation,"SILVER SPRING 20910
(38.99308, -77.02379)"
48197,SILVER SPRING,20904,06/29/2023,08/15/2023,OLTA-TMF,Rent Payment History,Other- no communication from tenant,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48245,SILVER SPRING,20906,08/03/2023,08/03/2023,OLTA-TMF,Maintenance- General,Refer to Code Enforcement,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
41344,SILVER SPRING,20904,04/30/2021,09/22/2022,OLTA-TMF,Fee,Acceptable explanation,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
43019,BETHESDA,20814,03/17/2022,05/06/2022,OLTA-TMF,Lease Agreement Tenant Rights,Acceptable explanation,"BETHESDA 20814
(38.98706, -77.0987)"
48087,SILVER SPRING,20904,04/25/2023,08/01/2023,OLTA-TMF,Noise,Complaint noted for the record,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
40936,BETHESDA,20814,08/20/2020,07/31/2023,OLTA-TSF,Maintenance- General,Other- no communication from tenant,"BETHESDA 20814
(38.98706, -77.0987)"
45230,POTOMAC,20854,06/24/2022,09/27/2022,OLTA-TSF,Rent Increase,Acceptable explanation,"POTOMAC 20854
(39.0630443, -77.1819961)"
48301,SILVER SPRING,20901,08/15/2023,08/24/2023,OLTA-TSF,Maintenance - Mold/Mildew,Other referral (private attorney/legal aid/etc.),"SILVER SPRING 20901
(39.02585, -77.01502)"
48205,SILVER SPRING,20902,07/05/2023,08/17/2023,OLTA-TMF,Rent Increase,Complaint noted for the record,"SILVER SPRING 20902
(39.04516, -77.0532353)"
41284,ROCKVILLE,20852,03/26/2021,08/29/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"ROCKVILLE 20852
(39.05652, -77.114195)"
48260,SILVER SPRING,20910,08/07/2023,08/07/2023,OLTA-TMF,Maintenance- General,Refer to Code Enforcement,"SILVER SPRING 20910
(38.99308, -77.02379)"
41653,SILVER SPRING,20903,10/08/2021,03/17/2022,OLTA-TMF,Security Deposit,Complaint noted for the record,"SILVER SPRING 20903
(39.01817, -76.97995)"
48060,MONTGOMERY VILLAGE,20886,04/12/2023,08/08/2023,OLTA-TSF,Parking,Refund (payments/deposits),"MONTGOMERY VILLAGE 20886
(39.185515, -77.19769)"
41732,SILVER SPRING,20904,11/04/2021,07/31/2023,OLTA-TMF,Lease Agreement,Other- no communication from tenant,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48104,SILVER SPRING,20906,05/04/2023,08/30/2023,OLTA-TSF,Lease Agreement Tenant Rights,Other- no communication from tenant,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
42846,GERMANTOWN,20874,12/28/2021,07/31/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"GERMANTOWN 20874
(39.19241, -77.274965)"
40008,GERMANTOWN,20874,05/31/2019,11/22/2021,OLTA-TSF,Security Deposit,Other- no communication from tenant,"GERMANTOWN 20874
(39.19241, -77.274965)"
48031,SILVER SPRING,20903,03/30/2023,08/14/2023,OLTA-TSF,Security Deposit,Acceptable explanation,"SILVER SPRING 20903
(39.01817, -76.97995)"
48320,BETHESDA,20814,08/21/2023,08/21/2023,OLTA-TMF,Other-Miscellaneous,Duplicate Case,"BETHESDA 20814
(38.98706, -77.0987)"
41708,SILVER SPRING,20910,10/27/2021,08/28/2023,OLTA-TMF,Rent Payment History,Other- no communication from tenant,"SILVER SPRING 20910
(38.99308, -77.02379)"
48252,SILVER SPRING,20906,08/04/2023,08/04/2023,OLTA-TSF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20906
(39.0679087, -77.0683461)"
41219,SILVER SPRING,20906,02/17/2021,07/31/2023,OLTA-TMF,Lease Agreement,Other- no communication from tenant,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48268,SILVER SPRING,20902,08/09/2023,08/09/2023,OLTA-TMF,Maintenance - Infestation,Refer to Code Enforcement,"SILVER SPRING 20902
(39.04516, -77.0532353)"
41644,SILVER SPRING,20906,10/05/2021,12/01/2021,OLTA-TSF,Maintenance - Mold/Mildew,Refer to Code Enforcement,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
41768,CHEVY CHASE,20815,11/19/2021,08/29/2023,OLTA-TMF,Lease Agreement Tenant Rights,Service performed or corrected,"CHEVY CHASE 20815
(38.983575, -77.07715)"
48274,SILVER SPRING,20903,08/09/2023,08/18/2023,OLTA-TSF,Lease Agreement Tenant Rights,Complaint withdrawn,"SILVER SPRING 20903
(39.01817, -76.97995)"
48148,ROCKVILLE,20853,06/06/2023,08/09/2023,OLTA-TSF,Security Deposit,Refund (payments/deposits),"ROCKVILLE 20853
(39.0704791, -77.0932412)"
40028,SILVER SPRING,20906,06/06/2019,12/20/2023,OLTA-TMF,Fee,Case Reopened,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
45434,SILVER SPRING,20903,09/26/2022,08/30/2023,OLTA-TMF,Failure to Pay Rent,Acceptable explanation,"SILVER SPRING 20903
(39.01817, -76.97995)"
42817,ROCKVILLE,20852,12/16/2021,12/11/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"ROCKVILLE 20852
(39.05652, -77.114195)"
42853,ROCKVILLE,20853,01/04/2022,12/11/2023,OLTA-TSF,Security Deposit,Other- no communication from tenant,"ROCKVILLE 20853
(39.0704791, -77.0932412)"
47951,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48632,Burtonsville,20866,11/07/2023,12/12/2023,OLTA-TSF,Maintenance- General,Acceptable explanation,"Burtonsville 20866
(39.097915, -76.933475)"
47886,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
42945,SILVER SPRING,20904,02/15/2022,12/11/2023,OLTA-TMF,Maintenance- General,Other- no communication from tenant,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48370,Montgomery Village,20886,09/01/2023,12/20/2023,OLTA-TSF,Security Deposit,Service performed or corrected,"Montgomery Village 20886
(39.18638, -77.17619)"
48149,CHEVY CHASE,20815,06/06/2023,11/29/2023,OLTA-TMF,Fee,Acceptable explanation,"CHEVY CHASE 20815
(38.983575, -77.07715)"
43020,SILVER SPRING,20904,03/17/2022,12/29/2023,OLTA-TMF,Security Deposit,Other- no communication from tenant,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
47941,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48690,SILVER SPRING,20906,12/06/2023,12/15/2023,OLTA-TMF,Lease Agreement,Acceptable explanation,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
47860,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48420,ROCKVILLE,20852,09/20/2023,12/20/2023,OLTA-TMF,Lease Agreement,Service performed or corrected,"ROCKVILLE 20852
(39.05652, -77.114195)"
47861,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47831,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47957,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
